Date;Temberature;Humidity;Visibility;Air pressure
10/03/2022;19.59;37;10.93209407;1012.5
11/03/2022;16.83;35;11.47610455;1020
12/03/2022;16.215;36;11.47890072;1022.5
13/03/2022;17.345;38;12.7735276;1021
14/03/2022;17.2;43;12.20497296;1022.5
15/03/2022;15;43;9.999726597;1026
